n,x1,x2,y1,y2
148,-202.57207621642297,-926.3284756610167,-198.0607297995466,-933.0575289990412
149,-203.26263776878142,-942.603896435652,-210.58732674755726,-975.8463290732612
150,-203.9970489620932,-959.0469751315093,-204.77772637144915,-957.6576613015727
151,-204.79537341698367,-975.6681325871846,-204.53467428062368,-977.693074055948
152,-205.66681150516197,-992.4738200116979,-209.03658383581862,-970.5653450229617
153,-206.59702462010182,-1009.4458279195811,-254.9466263706296,-992.6237140408507
154,-207.55992207828538,-1026.615069670585,-157.01362809913334,-1049.303043010858
155,-208.5173143740518,-1044.0026278378803,-232.96566543313395,-1018.9357368027892
156,-209.46187593356484,-1061.6102310930664,-200.09123412526324,-1047.6884515144386
157,-210.39685085719358,-1079.436559591578,-221.23724517064278,-1068.1299030000196
158,-211.32877097591455,-1097.49572908862,-179.51726925550625,-1071.042392238561
159,-212.27046724831823,-1115.7846124988127,-178.75237507124848,-1157.0967208824734
160,-213.23357189736677,-1134.2800072866123,-260.4800633641835,-1172.063522210473
161,-214.23517992567704,-1152.9610356146425,-222.5261016369714,-1167.1157936983498
162,-215.2859646094791,-1171.8198585394025,-221.6055197780873,-1135.9542537269526
163,-216.38568366619265,-1190.851388176663,-224.629007593545,-1177.0694559434323
164,-217.49314186843176,-1210.054799631916,-227.75335116005422,-1208.2009071422324
165,-218.58602387685153,-1229.4217772256304,-216.9038247521018,-1253.1290176453783
166,-219.6638202398445,-1248.9381939869154,-232.76597897279038,-1242.3300806125687
167,-220.71096979827303,-1268.6045461997924,-160.79719752343604,-1257.7738951586844
168,-221.71679119560665,-1288.43934988105,-239.95687719650024,-1298.6507655623464
169,-222.69861616033216,-1308.451239633156,-207.56931897809997,-1277.3494808524395
170,-223.65421541509693,-1328.6348422137241,-231.88120505750354,-1301.0464919885462
171,-224.58078687083935,-1348.9820965624094,-291.2433577111893,-1340.1690357706157
172,-225.50865352571964,-1369.4916340745817,-240.45927928128617,-1345.3085265845232
173,-226.4414485138928,-1390.1648273065493,-261.25895566622916,-1412.3658367586802
174,-227.3809518890745,-1411.0031529801818,-250.90586989626632,-1389.8618512363073
175,-228.31831972963835,-1432.020548891907,-224.5070286079096,-1431.2545190884077
176,-229.23075522135122,-1453.2315867390746,-228.0578380773611,-1442.2634315407986
177,-230.14118356964343,-1474.612397623658,-283.6533168620901,-1468.05673281295
178,-231.06190337560577,-1496.143477895714,-278.50671639227943,-1484.6985424826448
179,-231.96848387343917,-1517.8202309157475,-221.62736134111734,-1511.0198852304657
180,-232.85951845051034,-1539.6163089239374,-211.9266700321654,-1509.370958133772
181,-233.72266866468024,-1561.5507483444585,-277.7946733941206,-1547.1928106461394
182,-234.5525247235183,-1583.641696771245,-229.6676972938719,-1608.9629861912426
183,-235.351431774509,-1605.8892986135709,-208.65062548866607,-1604.8493088240118
184,-236.14156982586707,-1628.3111401592346,-217.74919379477714,-1575.6843609282616
185,-236.91004444735424,-1650.8931977288814,-221.5751867835065,-1664.6541187214202
186,-237.6404310806925,-1673.6210327799126,-222.87926848821985,-1689.8054258754612
187,-238.33828256863652,-1696.5000619400082,-222.57371649439256,-1678.5957998997455
188,-239.01820328458888,-1719.5400055465766,-237.26616076658877,-1689.2154088738969
189,-239.7147447043216,-1742.735313672646,-262.83999832382693,-1777.3827884994184
190,-240.45703039703682,-1766.0770539389343,-253.9414917617414,-1772.2879187579324
191,-241.25006608387653,-1789.568080770473,-259.7379296965209,-1802.6291194667592
192,-242.1003933649457,-1813.2135828587473,-238.6615352173932,-1808.2760231870352
193,-243.02549164829637,-1837.023122432999,-269.6192096797831,-1835.836817470278
194,-244.02302091691055,-1861.005652482187,-271.2408471763348,-1822.4441556145136
195,-245.1046010860492,-1885.1747740664086,-233.9515852528013,-1830.1790268927175
