t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,reset
327,34.43856900129271,34.87208202124268,0.21915386447058902,-0.4048425686797253,0.005124981721780537,-0.038277499378992864,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,34.05241200354166,36.14152455512917,0.08574781783478223,-0.0508739471040883,0.0
328,34.79985337260606,35.37691175357295,0.25150841569051435,-0.26191003309660643,0.0077812115529427,-0.02060055811831324,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,34.145238751918136,36.09618737823472,0.09323149183412173,-0.04127690620840434,0.0
329,34.95249489493674,35.36200381113143,0.23924174990921798,-0.23231117619219832,0.005825551922322624,-0.0157036322341443,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,34.23891420455612,36.05672798888325,0.09975777648840994,-0.02868486033972811,0.0
330,35.223055721390025,35.60212902041254,0.2506093404602753,-0.15431109792834685,0.006366174804079937,-0.00656288576981562,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,34.3385266039541,36.03098357688431,0.09604508099909659,-0.017923021859990805,0.0
331,35.132884326419486,36.03035178024499,0.1898685441378781,-0.046582049906673764,-0.00018007406692152183,0.004586230782278478,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,34.44435466004385,36.01360389692142,0.10046358472503551,-0.01529811241436679,0.0
332,35.22215025238423,35.24029330288142,0.17007857381839142,-0.1874946531783156,-0.0020930088790421285,-0.009607102073742886,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,34.54014050413737,35.98716886461339,0.10187374455191706,-0.03184212972686795,0.0
333,35.51555931439122,34.99893991058575,0.1922513821533551,-0.20667236957716056,0.0002741085138994667,-0.01054071034377507,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,34.64324315905519,35.95850422159573,0.10152372575976214,-0.019073100302470544,0.0
334,35.88122914696597,35.116701597135076,0.22633250430430693,-0.1528881046167042,0.003571964476380348,-0.004265843666080814,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,34.736474664485485,35.93934026214288,0.08752197573830045,-0.020548215998265836,0.0
335,35.40234631677463,35.68347155959784,0.09196927385905682,-0.016333304258716597,-0.009883539458155403,0.009471134273496332,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,34.82248866955991,35.913983738078336,0.0911674605452352,-0.028683213792788157,0.0
336,35.16032127322873,35.70447076326614,0.017887936986871023,-0.0005025419685063936,-0.016146000001193754,0.010091512559471105,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,34.91881632487297,35.886382727340646,0.10296609988693718,-0.028657143201399848,0.0
337,35.41921114887507,36.14074626110645,0.050336189076870326,0.09381947380651107,-0.011405656896010419,0.018308152758287982,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,35.01220000310399,35.86241625644341,0.08604928713925732,-0.019451557245928366,0.0
338,34.61684924275276,36.153824848694,-0.1263173315101843,0.09458921624651821,-0.027525496950840347,0.01659729028278121,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,35.101989095903214,35.84374490918331,0.09728588270243434,-0.018899434876300976,0.0
339,34.769571610348486,36.27728166071346,-0.09671738650676712,0.11519948662925743,-0.021952940871774924,0.016988754329030444,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,35.210584850655955,35.82906696647146,0.11309495907481126,-0.01864108024046404,0.0
340,35.22742569618813,36.35719782450517,-0.00833253326298862,0.12364725886945445,-0.011189548514274382,0.016155586128801396,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,35.318780059990985,35.813611433256,0.0999478523469364,-0.013399903172383237,0.0
341,35.46605103725383,36.47981869129059,0.0297506677723312,0.1380266282878625,-0.006383018347650519,0.01598231714586441,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,35.41620302760694,35.80166455007613,0.0945750026991645,-0.012177896924116647,0.0
342,35.364623162516075,36.3747596497237,-0.001602482840751724,0.10502412680641479,-0.008818841294319773,0.011203874485549886,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,35.512665696575326,35.786228960731805,0.09221648258398452,-0.010865145963742237,0.0
343,35.138765947730306,36.69597870639982,-0.05331290743023083,0.15731446718614575,-0.013002892131485633,0.015211837092986114,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,35.617314112302815,35.77587565666838,0.11175428421527522,-0.007030725394584512,0.0
344,35.52413586115581,37.268654800908074,0.020539171115763477,0.2520790036011126,-0.004530236546021629,0.022972160042745413,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,35.72041255005986,35.77060938191504,0.09900519640082878,0.0022578081853661417,0.0
345,35.77465461663369,36.80586599797936,0.061319625751313576,0.1333403032081614,-0.00011020303813722831,0.009148341971930863,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,35.814495608034576,35.774035169166375,0.08946628733170729,-0.007476301946131861,0.0
346,36.341794948043464,35.896405621600145,0.15990524748409107,-0.06185305935486046,0.009517521483380392,-0.010785081190460517,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,35.91009523450056,35.77507807233634,0.10021404477764521,0.001400599346524826,0.0
347,36.375934644040974,36.75850059033853,0.14395761632477047,0.1086752028057526,0.0070334095656635585,0.0069019377478918426,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,36.021617055374165,35.77286569655173,0.11649739096680717,-0.001090722284469324,0.0
348,36.846758435505194,36.67075944299447,0.21407615906598831,0.0765832420198102,0.013187330311827453,0.003098103958821554,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,36.14446288533318,35.781815008417766,0.12555524422464723,0.018949633603839677,0.0
349,37.47116500003549,36.029576313247965,0.30603209228329975,-0.06065631794944597,0.020871165078688823,-0.010591759532658444,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,36.2726638681416,35.7982399781226,0.12290631111549365,0.021924896987271188,0.0
350,37.935398013011515,35.891357808648884,0.3557321155811022,-0.0853471560697724,0.02368340466276199,-0.011967117051219837,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,36.39207781530157,35.816945917527015,0.11399607025834055,0.020928049478538643,0.0
351,37.51340322794044,35.50712165545835,0.22537153676209304,-0.15445980851104663,0.008656497084836113,-0.01754163323411936,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,36.50985265632069,35.83821809972677,0.10886399093376271,0.014052617006088938,0.0
