t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,reset
373,-9.340316267619501,-68.93348138946816,-2.0403585749492366,-1.1397211531344624,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-9.277809947965647,-68.64608947081652,0.0
374,-15.118811338374613,-68.02297079658273,-5.446088225901921,0.7281975428732228,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-15.704466034486323,-66.41289969322519,0.0
375,-16.244684958087245,-66.1070774432802,-1.5100406794075618,1.8102797093296201,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-17.740248908848347,-66.78429487269091,0.0
376,-18.38806256136459,-64.38127642051954,-2.0870592936520023,1.7333131330571279,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-15.780966898365993,-63.89492283424723,0.0
377,-14.095936921980707,-58.64290127011167,3.7248684676073474,5.3822324493260245,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-10.580152372409607,-58.99660584954862,0.0
378,-9.925158598252573,-62.40208221554061,4.131126617984282,-2.946297738125369,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-11.783488620965677,-61.28743557831083,0.0
379,-11.916406545628892,-60.35060922912749,-1.4468271605579908,1.6070555073543922,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-12.229432039806202,-61.739567405001836,0.0
380,-12.178764738556968,-62.075582902040026,-0.3676848958984271,-1.4286791668093,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-13.207747177395108,-62.96511858138854,0.0
381,-14.004613035906232,-68.12976108946098,-1.6961838251983674,-5.642864278194219,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-13.80159385278451,-68.27941638091382,0.0
382,-15.526903106065934,-68.98594602895731,-1.5377532493445525,-1.2818315091402503,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-15.82662854704387,-68.5274986069462,0.0
383,-15.388329645213103,-64.69155394697252,-0.010490778322234995,3.798536756155597,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-15.29586817972095,-66.51763583798706,0.0
384,-17.74306365936414,-63.23600401567405,-2.14627653849048,1.6638956829469653,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-18.166874704487714,-63.800483645168946,0.0
385,-15.122807064429018,-65.57034506917142,2.1964014891764334,-1.9788052778431813,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-15.9548311429426,-66.3551767433738,0.0
386,-16.434536781766536,-66.1984289911188,-0.9997756656337606,-0.748194309755019,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-18.0459138054945,-64.09131502462566,0.0
387,-20.102602557695604,-66.28028730094513,-3.4307930338257817,-0.14111100099929752,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-17.48330941939555,-64.74047226424825,0.0
388,-21.632157104748934,-69.84701950434697,-1.69861864821993,-3.262115200563537,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-20.48987032212652,-71.07968924108897,0.0
389,-21.628840204779898,-76.46235797606163,-0.14802455755979582,-6.317159320444426,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-22.08323138144064,-76.61649016233508,0.0
390,-25.951874174219487,-79.90682628088675,-3.95177901195143,-3.6999170177898515,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-25.350785452309097,-77.14702457709446,0.0
391,-21.757699259344204,-79.30224910563815,3.469811091838322,0.22180802409475753,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-22.053767205772107,-78.55475195884384,0.0
392,-19.77237411673856,-87.23321904892082,2.1173302984277953,-7.2059993051143785,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-20.981667201968154,-86.8710760198547,0.0
393,-20.028544838095925,-85.2773385534036,-0.0451115516004994,1.141177351084396,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-21.158477965460335,-84.27014022009925,0.0
394,-19.078479693144594,-85.40748736749117,0.861570905604167,-0.01709849615020609,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-18.822706505816903,-86.60012522091402,0.0
395,-17.34180193970052,-83.73220941102956,1.6588605023816092,1.5247865237523774,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-18.51176322718994,-82.89933182668207,0.0
