t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real,reset
208,-61.296602892214665,-1.387392580454916,1.2136807377036614,1.2136807377036614,-61.972850671505974,-1.3936906593620537,0.0
209,-64.79899790487534,3.4800495690016886,1.2136807377036614,1.2136807377036614,-65.38985497617382,2.2805732657115314,0.0
210,-64.9449282623537,-3.736431802535429,1.2136807377036614,1.2136807377036614,-64.49553382346764,-4.898556703352734,0.0
211,-62.87988757861065,0.6377819365800264,1.2136807377036614,1.2136807377036614,-64.21229554725052,0.7559276766595984,0.0
212,-61.613756643924205,-6.958043995854712,1.2136807377036614,1.2136807377036614,-62.776090468177955,-6.254880305374299,0.0
213,-59.09914236181644,-11.27226995176771,1.2136807377036614,1.2136807377036614,-58.92844592092663,-13.087751178651182,0.0
214,-63.832067807752864,-12.349285906682617,1.2136807377036614,1.2136807377036614,-62.00085286289688,-13.926528374508434,0.0
215,-65.6933664923372,-17.219114831294437,1.2136807377036614,1.2136807377036614,-65.05113555060056,-17.63607231622096,0.0
216,-67.25544333224228,-20.23289029304084,1.2136807377036614,1.2136807377036614,-69.20784322164182,-18.002382411520223,0.0
217,-67.11959675680396,-21.583143833454418,1.2136807377036614,1.2136807377036614,-67.35423221749923,-20.229918180148754,0.0
218,-63.75098906186255,-21.578086805296344,1.2136807377036614,1.2136807377036614,-65.01138337445397,-20.434388454920768,0.0
219,-62.70805867344809,-20.477966647283324,1.2136807377036614,1.2136807377036614,-61.303039140714745,-20.669002247693065,0.0
220,-59.05126774540768,-24.88172435514054,1.2136807377036614,1.2136807377036614,-58.965866042134735,-23.082109692921435,0.0
221,-61.133521897366414,-26.349982540755402,1.2136807377036614,1.2136807377036614,-58.83498891784479,-27.072762691849636,0.0
222,-60.95921226750472,-22.21178846696952,1.2136807377036614,1.2136807377036614,-58.143787990468915,-23.390748995597917,0.0
223,-54.269529609921555,-21.26125704293497,1.2136807377036614,1.2136807377036614,-53.01198700396844,-19.17724115355095,0.0
224,-54.643008249474896,-21.69418524928926,1.2136807377036614,1.2136807377036614,-53.81145780932908,-20.679408512513287,0.0
225,-53.46819237080924,-19.164577538984293,1.2136807377036614,1.2136807377036614,-52.96196556516405,-18.73267408570283,0.0
226,-51.97220475310638,-24.449412627951506,1.2136807377036614,1.2136807377036614,-51.73033967565487,-25.213729013419037,0.0
227,-50.10393137699419,-19.963749286445324,1.2136807377036614,1.2136807377036614,-49.385140631863685,-23.114633892699683,0.0
228,-49.656186421446414,-20.962010604885066,1.2136807377036614,1.2136807377036614,-49.7042896856892,-20.688199727161198,0.0
229,-48.04707068453558,-17.94986578170741,1.2136807377036614,1.2136807377036614,-47.6413315173245,-19.68453156645987,0.0
